symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,price_change_percentage_30d_in_currency,market_cap_rank,last_updated,ratio,final_score,momentum,zone,sector,accumulation_score,data_adicionada,id,image,fully_diluted_valuation,high_24h,low_24h,price_change_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,suspected_wash_trading,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,Ratio,Selecionar
DOGS,cat in a dogs world,0.00061437,54550075.0,7737856.0,-5.39655,-3.14853,6.32643,479,2026-05-13T22:15:03.796Z,3.1815825575142105,0.72,low,breakout,Meme,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEIRO,NEIRO,9.255e-05,38863564.34702776,15014971.233886275,-3.9549580073038126,0.0,0.0,0,2026-05-13T19:16:35.830471,0.6556909348650714,0.54,low,strong,Meme,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REZ,Renzo,0.0067007,57442731.0,9363143.0,-0.29659,25.96614,85.31914,472,2026-05-12T20:27:23.531Z,0.372867712001959,0.06,low,early_accumulation,DeFi,0.0,2026-05-10 13:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,SD,0.999522,189727282890.0609,70882845342.72203,-0.021475843169054,0.0,0.0,0,2026-05-13T19:33:53.852580,2.627484002232205,1.14,low,breakout,Other,0.0,2026-05-12 17:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSMO,Cosmos Hub,2.04,1038013666.0,93236271.0,-3.56282,6.41779,17.55232,68,2026-05-13T22:33:39.510Z,1.8374004965535964,0.9,low,breakout,Other,0.0,2026-05-12 17:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDON,Ondo U.S. Dollar Token,1.0,68981381.0,82461660.0,0.0,0.0,0.0,406,2026-05-13T22:33:47.448Z,1.2218322603458038,0.9,low,breakout,Other,0.0,2026-05-12 17:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT,Notcoin,0.00053869,53504592.0,21737848.0,-5.78113,-2.72699,47.69518,488,2026-05-13T22:34:04.819Z,0.6593799627880783,0.3,low,strong,Meme,0.633,2026-05-12 17:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGA,GIGA,0.00438037,42089889.64763906,11529156.92694218,-21.70807372512066,0.0,0.0,0,2026-05-13T19:35:25.603921,0.4515784636253585,0.24,low,early_accumulation,Meme,0.0,2026-05-12 17:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGS,cat in a dogs world,0.00061638,54780415.0,7750593.0,-5.09782,-2.83186,6.67407,479,2026-05-13T22:35:29.553Z,0.945480159678164,0.6,low,strong,Meme,0.358,2026-05-13 07:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUBARAK,Mubarak,0.01536276,15319812.0,8220900.0,-9.82862,-5.56218,15.78246,1025,2026-05-13T22:35:25.771Z,0.8254689894758656,0.6,low,strong,Meme,0.0,2026-05-13 07:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDU,Open Campus,0.05093,38573716.0,17159952.0,-7.66992,9.19504,3.90078,604,2026-05-13T22:36:43.960Z,0.5185943517039995,0.3,low,strong,Other,0.567,2026-05-13 07:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROCCOLI,CZ's Dog,0.01562552,15124718.0,8430312.0,-7.00469,-15.25679,-6.59355,1032,2026-05-13T22:37:06.285Z,0.5128056712398195,0.3,low,strong,Meme,0.0,2026-05-13 07:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
